V1,V2,V3
-12,44,-5034.99853515625
-11.9326923076923,44,-5029.46875
-11.8653846153846,44,-5028.41845703125
-11.7980769230769,44,-5025.23876953125
-11.7307692307692,44,-5024.548828125
-11.6634615384615,44,-5030.228515625
-11.5961538461538,44,-5026.2587890625
-11.5288461538462,44,-5021.65869140625
-11.4615384615385,44,-5019.8232421875
-11.3942307692308,44,-5018.30322265625
-11.3269230769231,44,-5015.2734375
-11.2596153846154,44,-5009.36328125
-11.1923076923077,44,-5006.54345703125
-11.125,44,-5003.693359375
-11.0576923076923,44,-5000.4130859375
-10.9903846153846,44,-4995.50341796875
-10.9230769230769,44,-4990.45751953125
-10.8557692307692,44,-4988.69775390625
-10.7884615384615,44,-4987.7275390625
-10.7211538461538,44,-4985.20751953125
-10.6538461538462,44,-4982.19775390625
-10.5865384615385,44,-4979.7177734375
-10.5192307692308,44,-4977.40771484375
-10.4519230769231,44,-4981.0078125
-10.3846153846154,44,-4982.27978515625
-10.3173076923077,44,-4979.8896484375
-10.25,44,-4973.48974609375
-10.1826923076923,44,-4970.7900390625
-10.1153846153846,44,-4964.85009765625
-10.0480769230769,44,-4961.1396484375
-9.98076923076923,44,-4961.85986328125
-9.91346153846154,44,-4858.64990234375
-9.84615384615385,44,-4630.6259765625
-9.77884615384615,44,-4146.0263671875
-9.71153846153846,44,-3796.10620117188
-9.64423076923077,44,-3573.23608398438
-9.57692307692308,44,-3338.76611328125
-9.50961538461539,44,-3306.076171875
-9.44230769230769,44,-3624.91625976562
-9.375,44,-3588.05615234375
-9.30769230769231,44,-3085.07470703125
-9.24038461538461,44,-2476.56469726562
-9.17307692307692,44,-2059.50463867188
-9.10576923076923,44,-1826.87475585938
-9.03846153846154,44,-1540.884765625
-8.97115384615385,44,-1346.92468261719
-8.90384615384615,44,-1113.44470214844
-8.83653846153846,44,-880.194702148438
-8.76923076923077,44,-629.241760253906
-8.70192307692308,44,-512.401733398438
-8.63461538461539,44,-440.021759033203
-8.56730769230769,44,-369.791748046875
-8.5,44,-315.771759033203
-8.43269230769231,44,-282.761749267578
-8.36538461538461,44,-250.921752929688
-8.29807692307692,44,-229.151763916016
-8.23076923076923,44,-215.236450195312
-8.16346153846154,44,-205.006454467773
-8.09615384615385,44,-200.03645324707
-8.02884615384615,44,-199.3564453125
-7.96153846153846,44,-192.346450805664
-7.89423076923077,44,-178.436447143555
-7.82692307692308,44,-174.056442260742
-7.75961538461539,44,-160.6064453125
-7.69230769230769,44,-159.332366943359
-7.625,44,-141.962371826172
-7.55769230769231,44,-114.802368164062
-7.49038461538462,44,-124.242370605469
-7.42307692307692,44,-124.702369689941
-7.35576923076923,44,-131.002365112305
-7.28846153846154,44,-156.76237487793
-7.22115384615385,44,-151.152374267578
-7.15384615384615,44,-148.415054321289
-7.08653846153846,44,-157.465057373047
-7.01923076923077,44,-130.975051879883
-6.95192307692308,44,-218.895065307617
-6.88461538461539,44,-197.565063476562
-6.81730769230769,44,-284.615051269531
-6.75,44,-448.385070800781
-6.68269230769231,44,-520.335083007812
-6.61538461538462,44,-591.931213378906
-6.54807692307692,44,-878.441223144531
-6.48076923076923,44,-1278.63122558594
-6.41346153846154,44,-1653.05126953125
-6.34615384615385,44,-2053.83129882812
-6.27884615384615,44,-2306.78125
-6.21153846153846,44,-2095.97119140625
-6.14423076923077,44,-1954.26123046875
-6.07692307692308,44,-2200.072265625
-6.00961538461539,44,-1682.87219238281
-5.94230769230769,44,-1430.86218261719
-5.875,44,-1476.93225097656
-5.80769230769231,44,-1162.91223144531
-5.74038461538462,44,-796.822204589844
-5.67307692307692,44,-543.7822265625
-5.60576923076923,44,-548.552185058594
-5.53846153846154,44,-703.678466796875
-5.47115384615385,44,-863.368469238281
-5.40384615384615,44,-924.088500976562
-5.33653846153846,44,-1121.34851074219
-5.26923076923077,44,-1113.44848632812
-5.20192307692308,44,-928.098449707031
-5.13461538461539,44,-829.988464355469
-5.06730769230769,44,-846.158447265625
-5,44,-857.472778320312
-12,43.9328358208955,-5046.07861328125
